@relation item_units
@attribute Date date 'mm/dd/yyyy'
@attribute item_nbr numeric
@attribute units numeric

@data
1/1/2012,9,29
1/1/2012,28,2
1/1/2012,51,1
1/2/2012,9,60
1/2/2012,28,5
1/2/2012,51,1
1/3/2012,9,15
1/3/2012,28,9
1/4/2012,9,20
1/4/2012,28,3
1/5/2012,9,16
1/5/2012,28,1
1/6/2012,9,12
1/6/2012,28,2
1/7/2012,9,2
1/7/2012,28,1
1/8/2012,9,22
1/8/2012,28,4
1/8/2012,51,1
1/9/2012,9,50
1/9/2012,28,1
1/9/2012,51,1
1/10/2012,9,25
1/11/2012,9,26
1/11/2012,28,1
1/11/2012,40,4
1/11/2012,51,3
1/12/2012,9,32
1/12/2012,28,2
1/12/2012,51,4
1/12/2012,93,3
1/13/2012,9,29
1/13/2012,28,3
1/13/2012,40,1
1/13/2012,51,5
1/14/2012,9,48
1/14/2012,28,3
1/14/2012,51,1
1/15/2012,9,40
1/15/2012,28,1
1/15/2012,40,1
1/15/2012,89,2
1/16/2012,9,31
1/16/2012,28,6
1/16/2012,51,1
1/17/2012,9,40
1/18/2012,9,21
1/18/2012,28,1
1/19/2012,9,35
1/19/2012,28,1
1/19/2012,40,1
1/19/2012,51,3
1/20/2012,9,38
1/20/2012,28,4
1/20/2012,40,2
1/20/2012,51,9
1/21/2012,9,26
1/21/2012,28,3
1/21/2012,40,1
1/21/2012,51,17
1/22/2012,9,52
1/22/2012,28,5
1/22/2012,40,2
1/22/2012,51,8
1/22/2012,93,4
1/23/2012,9,2
1/23/2012,28,1
1/23/2012,40,2
1/23/2012,51,3
1/24/2012,9,11
1/24/2012,28,3
1/24/2012,51,3
1/25/2012,9,11
1/25/2012,28,2
1/25/2012,40,1
1/26/2012,9,31
1/26/2012,28,3
1/26/2012,51,3
1/27/2012,9,33
1/27/2012,28,2
1/28/2012,9,115
1/28/2012,28,4
1/28/2012,40,1
1/29/2012,9,185
1/29/2012,28,4
1/29/2012,40,1
1/29/2012,51,1
1/29/2012,93,4
1/30/2012,9,73
1/30/2012,28,5
1/31/2012,9,39
1/31/2012,28,4
2/1/2012,9,60
2/1/2012,28,3
1/1/2012,9,29
1/1/2012,28,2
1/1/2012,51,1
1/2/2012,9,60
1/2/2012,28,5
1/2/2012,51,1
1/3/2012,9,15
1/3/2012,28,9
1/4/2012,9,20
1/4/2012,28,3
1/5/2012,9,16
1/5/2012,28,1
1/6/2012,9,12
1/6/2012,28,2
1/7/2012,9,2
1/7/2012,28,1
1/8/2012,9,22
1/8/2012,28,4
1/8/2012,51,1
1/9/2012,9,50
1/9/2012,28,1
1/9/2012,51,1
1/10/2012,9,25
1/11/2012,9,26
1/11/2012,28,1
1/11/2012,40,4
1/11/2012,51,3
1/12/2012,9,32
1/12/2012,28,2
1/12/2012,51,4
1/12/2012,93,3
1/13/2012,9,29
1/13/2012,28,3
1/13/2012,40,1
1/13/2012,51,5
1/14/2012,9,48
1/14/2012,28,3
1/14/2012,51,1
1/15/2012,9,40
1/15/2012,28,1
1/15/2012,40,1
1/15/2012,89,2
1/16/2012,9,31
1/16/2012,28,6
1/16/2012,51,1
1/17/2012,9,40
1/18/2012,9,21
1/18/2012,28,1
1/19/2012,9,35
1/19/2012,28,1
1/19/2012,40,1
1/19/2012,51,3
1/20/2012,9,38
1/20/2012,28,4
1/20/2012,40,2
1/20/2012,51,9
1/21/2012,9,26
1/21/2012,28,3
1/21/2012,40,1
1/21/2012,51,17
1/22/2012,9,52
1/22/2012,28,5
1/22/2012,40,2
1/22/2012,51,8
1/22/2012,93,4
1/23/2012,9,2
1/23/2012,28,1
1/23/2012,40,2
1/23/2012,51,3
1/24/2012,9,11
1/24/2012,28,3
1/24/2012,51,3
1/25/2012,9,11
1/25/2012,28,2
1/25/2012,40,1
1/26/2012,9,31
1/26/2012,28,3
1/26/2012,51,3
1/27/2012,9,33
1/27/2012,28,2
1/28/2012,9,115
1/28/2012,28,4
1/28/2012,40,1
1/29/2012,9,185
1/29/2012,28,4
1/29/2012,40,1
1/29/2012,51,1
1/29/2012,93,4
1/30/2012,9,73
1/30/2012,28,5
1/31/2012,9,39
1/31/2012,28,4
2/1/2012,9,60
2/1/2012,28,3
2/2/2012,9,76
2/2/2012,28,3
1/1/2012,9,29
1/1/2012,28,2
1/1/2012,51,1
1/2/2012,9,60
1/2/2012,28,5
1/2/2012,51,1
1/3/2012,9,15
1/3/2012,28,9
1/4/2012,9,20
1/4/2012,28,3
1/5/2012,9,16
1/5/2012,28,1
1/6/2012,9,12
1/6/2012,28,2
1/7/2012,9,2
1/7/2012,28,1
1/8/2012,9,22
1/8/2012,28,4
1/8/2012,51,1
1/9/2012,9,50
1/9/2012,28,1
1/9/2012,51,1
1/10/2012,9,25
1/11/2012,9,26
1/11/2012,28,1
1/11/2012,40,4
1/11/2012,51,3
1/12/2012,9,32
1/12/2012,28,2
1/12/2012,51,4
1/12/2012,93,3
1/13/2012,9,29
1/13/2012,28,3
1/13/2012,40,1
1/13/2012,51,5
1/14/2012,9,48
1/14/2012,28,3
1/14/2012,51,1
1/15/2012,9,40
1/15/2012,28,1
1/15/2012,40,1
1/15/2012,89,2
1/16/2012,9,31
1/16/2012,28,6
1/16/2012,51,1
1/17/2012,9,40
1/18/2012,9,21
1/18/2012,28,1
1/19/2012,9,35
1/19/2012,28,1
1/19/2012,40,1
1/19/2012,51,3
1/20/2012,9,38
1/20/2012,28,4
1/20/2012,40,2
1/20/2012,51,9
1/21/2012,9,26
1/21/2012,28,3
1/21/2012,40,1
1/21/2012,51,17
1/22/2012,9,52
1/22/2012,28,5
1/22/2012,40,2
1/22/2012,51,8
1/22/2012,93,4
1/23/2012,9,2
1/23/2012,28,1
1/23/2012,40,2
1/23/2012,51,3
1/24/2012,9,11
1/24/2012,28,3
1/24/2012,51,3
1/25/2012,9,11
1/25/2012,28,2
1/25/2012,40,1
1/26/2012,9,31
1/26/2012,28,3
1/26/2012,51,3
1/27/2012,9,33
1/27/2012,28,2
1/28/2012,9,115
1/28/2012,28,4
1/28/2012,40,1
1/29/2012,9,185
1/29/2012,28,4
1/29/2012,40,1
1/29/2012,51,1
1/29/2012,93,4
1/30/2012,9,73
1/30/2012,28,5
1/31/2012,9,39
1/31/2012,28,4
2/1/2012,9,60
2/1/2012,28,3
2/2/2012,9,76
2/2/2012,28,3
2/3/2012,9,104
2/3/2012,28,1
1/1/2012,9,29
1/1/2012,28,2
1/1/2012,51,1
1/2/2012,9,60
1/2/2012,28,5
1/2/2012,51,1
1/3/2012,9,15
1/3/2012,28,9
1/4/2012,9,20
1/4/2012,28,3
1/5/2012,9,16
1/5/2012,28,1
1/6/2012,9,12
1/6/2012,28,2
1/7/2012,9,2
1/7/2012,28,1
1/8/2012,9,22
1/8/2012,28,4
1/8/2012,51,1
1/9/2012,9,50
