@relation item_units
@attribute Date date 'MM/dd/yyyy'
@attribute item_nbr numeric
@attribute units numeric
@attribute store_nbr numeric
@attribute station_nbr numeric
@attribute tmp numeric
@attribute con numeric

@data
1/1/2012,5,191,2,14,42,0
1/2/2012,5,147,2,14,36,0
1/3/2012,5,104,2,14,42,0
1/4/2012,5,58,2,14,45,0
1/5/2012,5,138,2,14,48,0
1/6/2012,5,145,2,14,52,0
1/7/2012,5,71,2,14,49,0
1/8/2012,5,157,2,14,47,0
1/9/2012,5,53,2,14,42,0
1/10/2012,5,267,2,14,42,0.99
1/11/2012,5,91,2,14,43,0.99
1/12/2012,5,76,2,14,28,0
1/13/2012,5,89,2,14,35,0
1/14/2012,5,75,2,14,44,0
1/15/2012,5,168,2,14,45,0
1/16/2012,5,37,2,14,61,0
1/17/2012,5,55,2,14,44,0
1/18/2012,5,90,2,14,32,0
1/19/2012,5,38,2,14,42,0
1/20/2012,5,38,2,14,38,0
1/21/2012,5,90,2,14,32,0
1/22/2012,5,89,2,14,52,1.98
1/23/2012,5,41,2,14,46,0
1/24/2012,5,63,2,14,50,1.32
1/25/2012,5,51,2,14,45,1.32
1/26/2012,5,27,2,14,44,0.33
1/27/2012,5,41,2,14,49,0
1/28/2012,5,37,2,14,39,0
1/29/2012,5,99,2,14,43,0
1/30/2012,5,39,2,14,50,0
1/31/2012,5,52,2,14,55,0
2/1/2012,5,182,2,14,51,0
2/2/2012,5,121,2,14,52,0.99
2/3/2012,5,74,2,14,55,2.97
2/4/2012,5,197,2,14,41,0
2/5/2012,5,191,2,14,43,0
2/6/2012,5,107,2,14,41,0
2/7/2012,5,133,2,14,45,0
2/8/2012,5,50,2,14,33,0
2/9/2012,5,45,2,14,35,2.31
2/10/2012,5,66,2,14,34,2.97
2/11/2012,5,174,2,14,24,0
2/12/2012,5,194,2,14,27,1.32
2/13/2012,5,109,2,14,33,2.97
2/14/2012,5,45,2,14,38,4.29
2/15/2012,5,31,2,14,55,1.98
2/16/2012,5,15,2,14,48,0.33
2/17/2012,5,55,2,14,48,1.65
2/18/2012,5,75,2,14,43,2.31
2/19/2012,5,111,2,14,44,0
2/20/2012,5,64,2,14,50,3.3
2/21/2012,5,80,2,14,47,0
2/22/2012,5,26,2,14,54,0
2/23/2012,5,69,2,14,55,0
2/24/2012,5,17,2,14,43,0
2/25/2012,5,36,2,14,45,0
2/26/2012,5,93,2,14,52,0
2/27/2012,5,39,2,14,56,0
2/28/2012,5,70,2,14,61,0.66
2/29/2012,5,55,2,14,52,0
3/1/2012,5,91,2,14,58,0
3/2/2012,5,81,2,14,52,0
3/3/2012,5,60,2,14,45,0
3/4/2012,5,114,2,14,50,0
3/5/2012,5,91,2,14,59,0
3/6/2012,5,83,2,14,62,0
3/7/2012,5,148,2,14,67,0
3/8/2012,5,77,2,14,51,3.3
3/9/2012,5,35,2,14,48,0
3/10/2012,5,110,2,14,50,1.32
3/11/2012,5,87,2,14,52,1.32
3/12/2012,5,63,2,14,63,0
3/13/2012,5,31,2,14,66,0.33
3/14/2012,5,59,2,14,70,0
3/15/2012,5,79,2,14,73,0
3/16/2012,5,79,2,14,69,0.33
3/17/2012,5,157,2,14,71,0
3/18/2012,5,94,2,14,68,1.65
3/19/2012,5,89,2,14,61,3.96
3/20/2012,5,74,2,14,55,1.32
3/21/2012,5,86,2,14,55,4.29
3/22/2012,5,40,2,14,51,0.99
3/23/2012,5,17,2,14,56,0
3/24/2012,5,27,2,14,63,0
3/25/2012,5,45,2,14,64,0
3/26/2012,5,44,2,14,68,0
3/27/2012,5,54,2,14,69,0
3/28/2012,5,51,2,14,68,0
3/29/2012,5,26,2,14,70,0.33
3/30/2012,5,21,2,14,70,0.33
3/31/2012,5,40,2,14,71,1.65
4/1/2012,5,206,2,14,76,0.33
4/2/2012,5,123,2,14,71,1.98
4/3/2012,5,85,2,14,60,3.3
4/4/2012,5,50,2,14,57,0.33
4/5/2012,5,86,2,14,57,0
4/6/2012,5,106,2,14,60,0.33
4/7/2012,5,87,2,14,65,2.31
4/8/2012,5,60,2,14,60,0
4/9/2012,5,24,2,14,65,0.33
4/10/2012,5,315,2,14,67,0.66
4/11/2012,5,41,2,14,62,0
4/12/2012,5,30,2,14,64,0
4/13/2012,5,76,2,14,68,4.29
4/14/2012,5,104,2,14,70,0.99
4/15/2012,5,37,2,14,62,2.31
4/16/2012,5,41,2,14,59,0
4/17/2012,5,66,2,14,61,0
4/18/2012,5,30,2,14,65,0
4/19/2012,5,88,2,14,68,4.29
4/20/2012,5,39,2,14,57,0
4/21/2012,5,99,2,14,59,0
4/22/2012,5,112,2,14,62,0
4/23/2012,5,29,2,14,59,0
4/24/2012,5,50,2,14,66,0
4/25/2012,5,26,2,14,77,0
4/26/2012,5,26,2,14,75,0
4/27/2012,5,60,2,14,79,0
4/28/2012,5,53,2,14,72,3.3
4/29/2012,5,69,2,14,73,1.65
4/30/2012,5,93,2,14,72,3.3
5/1/2012,5,191,2,14,73,1.98
5/2/2012,5,123,2,14,76,0
5/3/2012,5,27,2,14,80,0
5/4/2012,5,47,2,14,76,0
5/5/2012,5,84,2,14,76,0
5/6/2012,5,43,2,14,78,0.33
5/7/2012,5,88,2,14,66,0
5/8/2012,5,78,2,14,64,0
5/9/2012,5,42,2,14,65,0
5/10/2012,5,68,2,14,66,0
5/11/2012,5,60,2,14,62,1.32
5/12/2012,5,106,2,14,65,1.98
5/13/2012,5,74,2,14,66,0
5/14/2012,5,99,2,14,69,0
5/15/2012,5,79,2,14,71,0
5/16/2012,5,56,2,14,71,0
5/17/2012,5,34,2,14,72,0
5/18/2012,5,93,2,14,75,0
5/19/2012,5,79,2,14,78,1.98
5/20/2012,5,166,2,14,66,2.97
5/21/2012,5,45,2,14,70,4.29
5/22/2012,5,38,2,14,69,0
5/23/2012,5,47,2,14,78,0
5/24/2012,5,88,2,14,81,0
5/25/2012,5,48,2,14,80,0
5/26/2012,5,61,2,14,81,0
5/27/2012,5,69,2,14,78,0
5/28/2012,5,141,2,14,79,1.98
5/29/2012,5,40,2,14,76,3.96
5/30/2012,5,34,2,14,74,1.98
5/31/2012,5,20,2,14,70,0
6/1/2012,5,107,2,14,60,2.97
6/2/2012,5,132,2,14,70,3.3
6/3/2012,5,190,2,14,77,2.97
6/4/2012,5,48,2,14,81,0
6/5/2012,5,90,2,14,79,0
6/6/2012,5,35,2,14,72,4.29
6/7/2012,5,87,2,14,71,1.32
6/8/2012,5,59,2,14,73,0.33
6/9/2012,5,76,2,14,75,0
6/10/2012,5,63,2,14,81,0
6/11/2012,5,59,2,14,81,0
6/12/2012,5,48,2,14,76,0
6/13/2012,5,78,2,14,75,0
6/14/2012,5,45,2,14,80,0
6/15/2012,5,40,2,14,76,2.31
6/16/2012,5,50,2,14,81,0
6/17/2012,5,70,2,14,81,0
6/18/2012,5,79,2,14,81,0
6/19/2012,5,63,2,14,81,0
6/20/2012,5,94,2,14,82,0
6/21/2012,5,42,2,14,76,2.97
6/22/2012,5,39,2,14,81,0.33
6/23/2012,5,66,2,14,84,0
6/24/2012,5,117,2,14,83,0
6/25/2012,5,24,2,14,86,0
6/26/2012,5,71,2,14,88,0
6/27/2012,5,37,2,14,88,0.33
6/28/2012,5,80,2,14,85,0
6/29/2012,5,41,2,14,84,0.33
6/30/2012,5,74,2,14,84,0
7/1/2012,5,224,2,14,82,0
7/2/2012,5,79,2,14,84,0
7/3/2012,5,26,2,14,87,0
7/4/2012,5,52,2,14,86,0
7/5/2012,5,128,2,14,85,0
7/6/2012,5,52,2,14,85,0
7/7/2012,5,80,2,14,86,0
7/8/2012,5,82,2,14,84,0
7/9/2012,5,41,2,14,87,0.99
7/10/2012,5,100,2,14,83,1.98
7/11/2012,5,43,2,14,83,1.98
7/12/2012,5,124,2,14,83,0
7/13/2012,5,73,2,14,83,0
7/14/2012,5,42,2,14,85,0
7/15/2012,5,76,2,14,80,0
7/16/2012,5,50,2,14,83,0
7/17/2012,5,88,2,14,85,0
7/18/2012,5,90,2,14,88,0
7/19/2012,5,46,2,14,91,0
7/20/2012,5,52,2,14,94,0
7/21/2012,5,92,2,14,92,0
7/22/2012,5,60,2,14,91,0
7/23/2012,5,55,2,14,88,0
7/24/2012,5,71,2,14,89,0
7/25/2012,5,44,2,14,92,0
7/26/2012,5,17,2,14,90,0
7/27/2012,5,48,2,14,87,0
7/28/2012,5,55,2,14,89,0
7/29/2012,5,54,2,14,92,0
7/30/2012,5,50,2,14,93,0
7/31/2012,5,36,2,14,94,0
8/1/2012,5,98,2,14,96,0
